trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.05, 'e': 0.4095685099692038}",25,17,2.04046268829775,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.05, 'e': 0.40048027636834294}",25,2,-87.1824923827443,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 1}",1
174,False,"{'a': 0.05, 'e': 0.3915269104749858}",25,10,14.922677417852663,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.05, 'e': 0.3827103329057676}",20,11,-19.19787453806416,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
176,False,"{'a': 0.05, 'e': 0.37403220015902217}",20,0,-7.574090755334608,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
177,False,"{'a': 0.05, 'e': 0.36549391527365505}",25,15,-2.0151445564234542,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.05, 'e': 0.35709663855518625}",20,7,-21.929402249480116,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
179,False,"{'a': 0.05, 'e': 0.34884129832013555}",20,3,-110.13479299935187,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 1}",1
180,False,"{'a': 0.05, 'e': 0.3407286016142791}",25,7,-14.612481653580138,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
181,False,"{'a': 0.05, 'e': 0.3327590448644865}",20,0,-3.2158491513953362,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
182,False,"{'a': 0.05, 'e': 0.32493292442785937}",25,16,5.47763651844445,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.05, 'e': 0.3172503470057043}",20,5,27.201119955736814,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
